,Group,Deelnemer,T1_KQ_Total_Score,T2_KQ_Total_Score,Score_Difference,T-Test Statistic,T-Test P-Value,T-Test P-Value Corrected,Mann-Whitney Statistic,Mann-Whitney P-Value,Mann-Whitney P-Value Corrected
80,Intervention,2019084,4,6,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
81,Intervention,2019085,2,4,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
82,Intervention,2019086,8,9,1,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
83,Intervention,2019087,2,8,6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
84,Intervention,2019088,5,5,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
85,Intervention,2019089,7,13,6,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
86,Intervention,2019090,1,6,5,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
87,Intervention,2019091,12,19,7,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
88,Intervention,2019092,15,18,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
89,Intervention,2019093,15,17,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
90,Intervention,2019094,12,19,7,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
91,Intervention,2019095,11,14,3,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
92,Intervention,2019096,9,16,7,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
93,Controle,2020004,10,10,0,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
94,Controle,2020005,15,17,2,3.6030811872799196,0.0007219166279557102,0.0924053283783309,2372.0,0.0007419918540970042,0.09497495732441653
